"","Lat","Lon"
"lat354",40.7755398,-73.9526749
"lat355",40.7670796,-73.9570028
"lat356",40.7745474,-73.9552579
"lat357",40.7872519,-73.9546584
"lat358",40.7825685,-73.9592414
"lat359",40.7633074,-73.9587691
"lat360",40.7666573,-73.9587133
"lat361",40.7230145,-73.9857665
"lat362",40.7814357,-73.9486665
"lat363",40.7748209,-73.9461311
"lat364",40.7665612,-73.9629317
"lat365",40.775561,-73.9506544
"lat366",40.762701,-73.9592993
"lat367",40.7740301,-73.9545642
"lat368",40.7847311,-73.9546495
"lat369",40.7687389,-73.9563944
"lat370",40.7849881,-73.9524568
"lat371",40.7753036,-73.9536452
"lat372",40.588486,-73.6509266
"lat373",40.776502,-73.9553038
"lat374",40.7781446,-73.9530882
"lat375",40.7800477,-73.9505824
"lat376",40.7804806,-73.9545981
"lat377",40.7652288,-73.9651396
"lat378",40.7713971,-73.9564892
"lat379",40.7847455,-73.9567847
"lat380",40.7776501,-73.9477154
"lat381",40.7714382,-73.956845
"lat382",40.7675854,-73.9528656
"lat383",40.7713971,-73.9564892
"lat384",40.7740301,-73.9545642
"lat385",40.77014,-73.952931
"lat386",40.7763066,-73.9534555
"lat387",40.7236548,-73.9852944
"lat388",40.7760397,-73.9548331
"lat389",40.7835844,-73.947945
"lat390",40.7812566,-73.9532719
"lat391",40.7699845,-73.9547858
"lat392",40.7704808,-73.949913
"lat393",40.7745976,-73.9554071
"lat394",40.7771612,-73.9518501
"lat395",40.769537,-73.9592477
"lat396",40.7715143,-73.9552923
"lat397",40.7845154,-73.9498287
"lat398",40.7625466,-73.9595169
"lat399",40.7716231,-73.952793
"lat400",40.7726589,-73.9518994
"lat401",40.7793931,-73.9609174
"lat402",40.7641796,-73.9619981
"lat403",40.7646896,-73.9643068
"lat404",40.7716485,-73.9646206
"lat405",40.7707353,-73.9584651
"lat406",40.7732855,-73.9566248
"lat407",40.7637032,-73.9570426
"lat408",40.7791877,-73.9507958
"lat409",40.7662371,-73.9596022
"lat410",40.7791877,-73.9507958
"lat411",40.768236,-73.96632
"lat412",40.7798082,-73.9503372
"lat413",40.7641257,-73.9617869
"lat414",40.6610451,-73.9217565
"lat415",40.7628027,-73.9569282
"lat416",40.7680668,-73.9606871
"lat417",40.7665277,-73.9523764
"lat418",40.777504,-73.9549428
"lat419",40.7646896,-73.9643068
"lat420",40.7759558,-73.9454997
"lat421",40.7753074,-73.9540015
"lat422",40.7672437,-73.9590556
"lat423",40.7835139,-73.9471066
"lat424",40.7810163,-73.9490552
"lat425",40.7732005,-73.949899
"lat426",40.77038,-73.9485022
"lat427",40.7753036,-73.9536452
"lat428",40.7694777,-73.9581676
"lat429",40.7786583,-73.9600909
"lat430",40.7816229,-73.946223
"lat431",40.769723,-73.9660004
"lat432",40.7641823,-73.9712767
"lat433",40.7646896,-73.9643068
"lat434",40.7805906,-73.9515728
"lat435",40.7757896,-73.9522616
"lat436",40.7665277,-73.9523764
"lat437",40.7602328,-73.9576306
"lat438",40.7735677,-73.9574003
"lat439",40.760634,-73.9591772
"lat440",40.7895105,-73.9442779
"lat441",40.7825187,-73.9531922
"lat442",40.7811265,-73.952629
"lat443",40.7803429,-73.947266
"lat444",40.7733189,-73.9583466
"lat445",40.7735355,-73.9589206
"lat446",40.7780468,-73.94969
"lat447",40.78634,-73.9504237
"lat448",40.7779881,-73.9549709
"lat449",40.7726444,-73.965904
"lat450",40.7805193,-73.9554251
"lat451",40.7766758,-73.9532033
"lat452",40.7648883,-73.9567338
"lat453",40.769202,-73.965801
"lat454",40.7701262,-73.9574063
"lat455",40.7814357,-73.9486665
"lat456",40.783115,-73.9517539
"lat457",40.7693583,-73.9591444
"lat458",40.762236,-73.957533
"lat459",40.7752411,-73.9571988
"lat460",40.7737755,-73.9568087
"lat461",40.777504,-73.9549428
"lat462",40.7736436,-73.9472103
"lat463",40.785811,-73.956191
"lat464",40.7847561,-73.9508266
"lat465",40.7293961,-73.9980108
"lat466",40.7640743,-73.9615199
"lat467",40.7667544,-73.9571182
"lat468",40.7666644,-73.9612344
"lat469",40.7732383,-73.9473103
"lat470",40.7785105,-73.9559544
"lat471",40.7707549,-73.9569377
"lat472",40.7649371,-73.9601827
"lat473",40.7743448,-73.9648893
"lat474",40.7793931,-73.9609174
"lat475",40.7763485,-73.9524672
"lat476",40.7746683,-73.9541074
"lat477",40.7812566,-73.9532719
"lat478",40.7740301,-73.9545642
"lat479",40.7713722,-73.9521239
"lat480",40.765956,-73.958884
"lat481",40.777554,-73.962352
"lat482",40.7869698,-73.9497819
"lat483",40.7765692,-73.9448617
"lat484",40.7695087,-73.9563561
"lat485",40.7855167,-73.9516991
"lat486",40.787341,-73.955194
"lat487",40.7845613,-73.9797998
"lat488",40.7868014,-73.9548331
"lat489",40.7636353,-73.9603894
"lat490",40.7819304,-73.9471644
"lat491",40.7845689,-73.9518835
"lat492",40.762236,-73.957533
"lat493",40.7666644,-73.9612344
"lat494",40.773008,-73.96032
"lat495",40.7665778,-73.9653109
"lat496",40.7844494,-73.9528778
"lat497",40.7236185,-73.9892192
"lat498",40.7816674,-73.948598
"lat499",40.7799059,-73.948034
"lat500",40.7870575,-73.9533887
"lat501",40.7841494,-73.9532719
"lat502",40.7791231,-73.9480369
"lat503",40.7745656,-73.9455571
"lat504",40.7715514,-73.9553497
"lat505",40.787053,-73.9552464
"lat506",40.7716811,-73.9494145
"lat507",40.7823786,-73.9519402
"lat508",40.7670287,-73.9687243
"lat509",40.7680668,-73.9606871
"lat510",40.7693291,-73.9612597
"lat511",40.7679706,-73.9525901
"lat512",40.7707549,-73.9569377
"lat513",40.7737755,-73.9568087
"lat514",40.7763485,-73.9524672
"lat515",40.7796551,-73.9539686
"lat516",40.7695325,-73.9580193
"lat517",40.7791831,-73.9472423
"lat518",40.7778826,-73.95178
"lat519",40.588486,-73.6509266
"lat520",40.7777321,-73.9571508
"lat521",40.7735355,-73.9589206
"lat522",40.776326,-73.9465025
"lat523",40.7659324,-73.955058
"lat524",40.7626591,-73.9696518
"lat525",40.7786199,-73.9529045
"lat526",40.7686899,-73.9602206
"lat527",40.77646,-73.9559212
"lat528",40.7797274,-73.9499045
"lat529",40.7712693,-73.9538827
"lat530",40.7787952,-73.9454947
"lat531",40.7666689,-73.9561599
"lat532",40.7845154,-73.9498287
"lat533",40.7746897,-73.9506314
"lat534",40.767812,-73.962014
"lat535",40.7767333,-73.9566585
"lat536",40.7827852,-73.9454695
"lat537",40.7755165,-73.949742
"lat538",40.7783818,-73.9615373
"lat539",40.7811466,-73.9473481
"lat540",40.7636353,-73.9603894
"lat541",40.7776141,-73.9545117
"lat542",40.7695024,-73.9582375
"lat543",40.7705227,-73.9680824
"lat544",40.7681326,-73.954438
"lat545",40.7692138,-73.9619472
"lat546",40.7666644,-73.9612344
"lat547",40.7709198,-73.9511136
"lat548",40.7665635,-73.9614455
"lat549",40.7739214,-73.9499082
"lat550",40.7753036,-73.9536452
"lat551",40.7255028,-73.9798509
"lat552",40.7747903,-73.9482206
"lat553",40.7844233,-73.948559
"lat554",40.7795786,-73.9563152
"lat555",40.7825187,-73.9531922
"lat556",40.7799059,-73.948034
"lat557",40.7744509,-73.9545117
"lat558",40.7785628,-73.9512744
"lat559",40.7788867,-73.9602326
"lat560",40.7732735,-73.9554164
"lat561",40.7789698,-73.9569914
"lat562",40.7812302,-73.947394
"lat563",40.7786199,-73.9529045
"lat564",40.774702,-73.9546495
"lat565",40.7740301,-73.9545642
"lat566",40.7230145,-73.9857665
"lat567",40.7756467,-73.9530193
"lat568",40.7716962,-73.9518254
"lat569",40.7739859,-73.9489945
"lat570",40.7814746,-73.9503554
"lat571",40.7649672,-73.9637873
"lat572",40.7844274,-73.9482635
"lat573",40.7845689,-73.9518835
"lat574",40.7789021,-73.9549789
"lat575",40.7862513,-73.9522543
"lat576",40.7697351,-73.9582004
"lat577",40.7787776,-73.9543943
"lat578",40.7709198,-73.9511136
"lat579",40.7629053,-73.9587151
"lat580",40.772029,-73.9643796
"lat581",40.7236548,-73.9852944
"lat582",40.77014,-73.952931
"lat583",40.7694864,-73.9573985
"lat584",40.7836047,-73.9491046
"lat585",40.7701974,-73.9538988
"lat586",40.7680668,-73.9606871
"lat587",40.7786199,-73.9529045
"lat588",40.7754759,-73.9557515
"lat589",40.7704513,-73.9548752
"lat590",40.7847311,-73.9546495
"lat591",40.772329,-73.96598
"lat592",40.7761319,-73.95367
"lat593",40.779665,-73.9477409
"lat594",40.781007,-73.946774
"lat595",40.7680668,-73.9606871
"lat596",40.7788867,-73.9602326
"lat597",40.7718192,-73.9539516
"lat598",40.7772076,-73.9538229
"lat599",40.770077,-73.958667
"lat600",40.7701262,-73.9574063
"lat601",40.7810472,-73.9513046
"lat602",40.763499,-73.960933
"lat603",40.7637649,-73.968796
"lat604",40.783266,-73.9507404
"lat605",40.7783818,-73.9615373
"lat606",40.7751625,-73.9569666
"lat607",40.7743649,-73.947061
"lat608",40.7799059,-73.948034
"lat609",40.7845689,-73.9518835
"lat610",40.7825826,-73.9510439
"lat611",40.7799271,-73.9581623
"lat612",40.7659326,-73.9591354
"lat613",40.773008,-73.96032
"lat614",40.7686899,-73.9602206
"lat615",40.7782628,-73.9603791
"lat616",40.783264,-73.9484043
"lat617",40.7833241,-73.9530424
"lat618",40.7743605,-73.9476889
"lat619",40.776855,-73.952036
"lat620",40.7771612,-73.9518501
"lat621",40.7701262,-73.9574063
"lat622",40.7763066,-73.9534555
"lat623",40.7858826,-73.9488283
"lat624",40.7803552,-73.9541214
"lat625",40.776326,-73.9465025
"lat626",40.7736507,-73.9512294
"lat627",40.776854,-73.953998
"lat628",40.7789021,-73.9549789
"lat629",40.7736341,-73.955834
"lat630",40.7746683,-73.9541074
"lat631",40.7730956,-73.9599956
"lat632",40.7788108,-73.9563227
"lat633",40.7652288,-73.9651396
"lat634",40.7776478,-73.9547046
"lat635",40.7293961,-73.9980108
"lat636",40.7675854,-73.9528656
"lat637",40.7765679,-73.9552923
"lat638",40.769556,-73.961689
"lat639",40.7729738,-73.9582662
"lat640",40.7686692,-73.9527508
"lat641",40.7692179,-73.9617195
"lat642",40.7752654,-73.9624098
"lat643",40.7761319,-73.95367
"lat644",40.7662371,-73.9596022
"lat645",40.7845154,-73.9498287
"lat646",40.7791877,-73.9507958
"lat647",40.7816463,-73.9522157
"lat648",40.7735355,-73.9589206
"lat649",40.7775783,-73.9454825
"lat650",40.7771898,-73.9537655
"lat651",40.7854487,-73.9564403
"lat652",40.7776476,-73.9580016
"lat653",40.7697376,-73.9678969
"lat654",40.7746683,-73.9541074
"lat655",40.77417,-73.9525371
"lat656",40.7707045,-73.9505556
"lat657",40.767363,-73.9557109
"lat658",40.7724517,-73.9560507
"lat659",40.7788665,-73.9568077
"lat660",40.7791877,-73.9507958
"lat661",40.7787275,-73.9493227
"lat662",40.7791877,-73.9507958
"lat663",40.7293961,-73.9980108
"lat664",40.7739214,-73.9499082
"lat665",40.7686899,-73.9602206
"lat666",40.775205,-73.9571438
"lat667",40.7775783,-73.9454825
"lat668",40.7713971,-73.9564892
"lat669",40.7864669,-73.9529386
"lat670",40.7781388,-73.9598957
"lat671",40.7745325,-73.9507462
"lat672",40.7680408,-73.952284
"lat673",40.769723,-73.9660004
"lat674",40.7727995,-73.9587064
"lat675",40.7791877,-73.9507958
"lat676",40.7785628,-73.9512744
"lat677",40.7735355,-73.9589206
"lat678",40.7689869,-73.9615489
"lat679",40.7749477,-73.9552923
"lat680",40.7767683,-73.9529045
"lat681",40.7736712,-73.9583353
"lat682",40.7787556,-73.9575194
"lat683",40.7685611,-73.9512447
"lat684",40.7641257,-73.9617869
"lat685",40.774267,-73.949855
"lat686",40.7825826,-73.9510439
"lat687",40.7646896,-73.9643068
"lat688",40.778102,-73.9568158
"lat689",40.7758711,-73.9541903
"lat690",40.777504,-73.9549428
"lat691",40.77417,-73.9525371
"lat692",40.7704808,-73.949913
"lat693",40.774233,-73.958694
"lat694",40.7798082,-73.9503372
"lat695",40.7763066,-73.9534555
"lat696",40.7800243,-73.9533148
"lat697",40.7630816,-73.9578242
"lat698",40.7700662,-73.9500865
"lat699",40.7646896,-73.9643068
